node,node_bef_goal,path,path_len,time
10000,14044,RRDR,4,0.00999999046326
10001,14301,RU-RD,5,0.0299999713898
10002,14044,DR,2,0.0
10003,14301,U-URRD,6,0.110000133514
10004,14044,LLR,3,0.00999999046326
10005,14301,-URRD,5,0.0599999427795
10010,24024,RDUR,4,0.00999999046326
10011,14024,RU-LR,5,0.0299999713898
10012,14024,URDR,4,0.00999999046326
10013,11044,UU-LLR,6,0.0900001525879
10014,14024,URLLR,5,0.0299999713898
10015,14044,R-LRR,5,0.0539999008179
10020,14301,U-UD,4,0.00600004196167
10021,14024,RU-LR,5,0.0260000228882
10022,14024,URDR,4,0.00999999046326
10023,11044,UU-DR,5,0.0199999809265
10024,14044,ULRR,4,0.0
10025,21044,-UDUR,5,0.0799999237061
10030,24044,RDUR,4,0.0140001773834
10031,14301,RU-RD,5,0.0319998264313
10032,14044,URDR,4,0.0
10033,14301,U-URRD,6,0.140000104904
10034,14044,ULRR,4,0.00999999046326
10035,24044,R-LRR,5,0.0499999523163
10040,14301,LRD,3,0.0
10041,14024,RU-LR,5,0.0320000648499
10042,14024,DR,2,0.0
10043,11044,UU-LLR,6,0.0999999046326
10044,14024,LLR,3,0.00999999046326
10045,14024,-URLR,5,0.0600001811981
10050,14301,U-UD,4,0.00999999046326
10051,14024,RU-LR,5,0.039999961853
10052,14024,URDR,4,0.0
10053,11044,UU-DR,5,0.0199999809265
10054,14044,ULRR,4,0.00999999046326
10055,14044,R-LRR,5,0.0499999523163
10100,24044,U-UUR,5,0.0299999713898
10101,10125,UDRDL,5,0.0199999809265
10102,10525,-D-UL,5,0.100000143051
10103,14044,LRR,3,0.0
10104,11044,-UUR,4,0.0239999294281
10105,24024,LUR,3,0.00300002098083
10110,11044,URR-R,5,0.0250000953674
10111,14301,ULRD,4,0.0
10112,24044,U-RUR,5,0.039999961853
10113,24044,U-RUR,5,0.039999961853
10114,14044,UUU-R,5,0.0299999713898
10115,24024,ULLR,4,0.0
10120,11044,R-R,3,0.00999999046326
10121,21044,R-R,3,0.00200009346008
10122,14024,UL-LR,5,0.0299999713898
10123,14044,LRR,3,0.0
10124,11044,RRR-R,5,0.039999961853
10125,10125,L,1,0.0
10130,24044,U-UUR,5,0.0299999713898
10131,10125,UDRDL,5,0.0299999713898
10132,14024,ULL-LR,6,0.180000066757
10133,14044,URLRR,5,0.0299999713898
10134,10125,D--DL,5,0.0899999141693
10135,24024,LUR,3,0.0
10140,11044,R-R,3,0.0
10141,21044,R-R,3,0.0
10142,24044,-RUR,4,0.0200002193451
10143,14024,RLLR,4,0.00999999046326
10144,14044,UUU-R,5,0.0199999809265
10145,24024,ULLR,4,0.00999999046326
10150,11044,URR-R,5,0.0299999713898
10151,21044,URR-R,5,0.0299999713898
10152,14024,UL-LR,5,0.039999961853
10153,24024,UL-LR,5,0.0299999713898
10154,10325,-D-LL,5,0.120000123978
10155,24044,LUR,3,0.0
10200,10525,DRDL,4,0.00999999046326
10201,10325,U-UL,4,0.00999999046326
10202,14044,RLRR,4,0.00999999046326
10203,10525,U--UL,5,0.0299999713898
10204,14044,LLR,3,0.0
10205,21024,-UUR,4,0.0199999809265
10210,14301,URLRD,5,0.0299999713898
10211,11024,UR-R,4,0.0
10212,21024,UR-R,4,0.00999999046326
10213,24044,U-RUR,5,0.0299999713898
10214,14024,URLLR,5,0.0350000858307
10215,24024,R-LUR,5,0.0629999637604
10220,21024,RR-R,4,0.00999999046326
10221,11024,UR-R,4,0.00999999046326
10222,21024,UR-R,4,0.0
10223,14044,-RRR,4,0.0199999809265
10224,14044,ULRR,4,0.00999999046326
10225,11024,RR-R,4,0.00999999046326
10230,24024,U-UUR,5,0.0299999713898
10231,10325,U-UL,4,0.00999999046326
10232,14044,URRLRR,6,0.130000114441
10233,10525,U--UL,5,0.039999961853
10234,14044,ULRR,4,0.0
10235,14024,U-UUR,5,0.039999961853
10240,14301,LRD,3,0.0
10241,11024,-R,2,0.0
10242,21024,-R,2,0.0
10243,24044,U-RUR,5,0.039999961853
10244,14024,LLR,3,0.0
10245,11024,RR-R,4,0.0100002288818
10250,14301,URLRD,5,0.0209999084473
10251,11024,UR-R,4,0.00999999046326
10252,21024,UR-R,4,0.00999999046326
10253,14301,R-L-D,5,0.0599999427795
10254,14044,ULRR,4,0.00999999046326
10255,24024,R-LUR,5,0.0599999427795
10300,14024,UD-LR,5,0.0200002193451
10301,14044,RDR,3,0.0
10302,14301,U-RD,4,0.00999999046326
10303,24044,UDR,3,0.0
10304,14024,DU-LR,5,0.039999961853
10305,24024,LUR,3,0.0
10310,14044,-LRR,4,0.0199999809265
10311,24024,DUR,3,0.0
10312,14024,U-LR,4,0.00999999046326
10313,24024,UDR,3,0.0
10314,10325,-L-LL,5,0.0999999046326
10315,24024,ULLR,4,0.0
10320,14301,U-UD,4,0.00999999046326
10321,14024,RDR,3,0.0
10322,14024,UL-LR,5,0.0299999713898
10323,14044,LRR,3,0.0
10324,11044,-UDUR,5,0.0810000896454
10325,10325,L,1,0.0
10330,24044,-LRR,4,0.0199999809265
10331,24044,DUR,3,0.0
10332,14301,U-RD,4,0.0
10333,24044,UDR,3,0.00999999046326
10334,14024,DU-LR,5,0.0510001182556
10335,24024,LUR,3,0.00300002098083
10340,14024,UDL-LR,6,0.0969998836517
10341,14024,RDR,3,0.0
10342,14024,U-LR,4,0.00999999046326
10343,24024,UDR,3,0.0
10344,14301,U-UUUD,6,0.130000114441
10345,24024,ULLR,4,0.0
10350,14301,U-UD,4,0.010999917984
10351,14024,URRDR,5,0.0199999809265
10352,14024,UL-LR,5,0.0300002098083
10353,24024,UURDR,5,0.0199999809265
10354,14024,U-RRLR,6,0.171000003815
10355,24044,LUR,3,0.0
10400,10125,DRDL,4,0.00999999046326
10401,10325,-RDL,4,0.0199999809265
10402,14044,RLRR,4,0.00999999046326
10403,11044,R-UUR,5,0.0499999523163
10404,14044,LLR,3,0.0
10405,21044,-UUR,4,0.0199999809265
10410,14301,URLRD,5,0.0199999809265
10411,11044,UR-R,4,0.00999999046326
10412,21044,UR-R,4,0.0
10413,24044,U-RUR,5,0.039999961853
10414,14024,URLLR,5,0.0299999713898
10415,11044,URRR-R,6,0.154000043869
10420,21044,RR-R,4,0.00999999046326
10421,11044,UR-R,4,0.00599980354309
10422,21044,UR-R,4,0.00600004196167
10423,14044,-RRR,4,0.0210001468658
10424,14044,ULRR,4,0.00699996948242
10425,11044,RR-R,4,0.010999917984
10430,24044,U-UUR,5,0.0539999008179
10431,14024,UD--R,5,0.0360000133514
10432,14044,URRLRR,6,0.180000066757
10433,14301,UU-LRD,6,0.148000001907
10434,14044,ULRR,4,0.00800013542175
10435,14044,U-UUR,5,0.039999961853
10440,14301,LRD,3,0.00399994850159
10441,11044,-R,2,0.000999927520752
10442,21044,-R,2,0.0
10443,24044,U-RUR,5,0.0339999198914
10444,14024,LLR,3,0.00499987602234
10445,11044,RR-R,4,0.0090000629425
10450,14301,URLRD,5,0.0329999923706
10451,11044,UR-R,4,0.00699996948242
10452,21044,UR-R,4,0.00600004196167
10453,11024,UU-DR,5,0.0320000648499
10454,14044,ULRR,4,0.00799989700317
10455,11044,URRR-R,6,0.167000055313
10500,14044,UD-LR,5,0.0280001163483
10501,10525,UDRDL,5,0.0239999294281
10502,14024,ULL-LR,6,0.151999950409
10503,14044,LRR,3,0.00400018692017
10504,11024,-UUR,4,0.0169999599457
10505,24024,LUR,3,0.00300002098083
10510,24024,-LUR,4,0.0209999084473
10511,14301,ULRD,4,0.00600004196167
10512,14044,U-LR,4,0.00799989700317
10513,24044,U-LR,4,0.00800013542175
10514,14301,-L-D,4,0.021999835968
10515,24024,ULLR,4,0.00800013542175
10520,11024,R-R,3,0.00300002098083
10521,21024,R-R,3,0.0019998550415
10522,14024,UL-LR,5,0.0380001068115
10523,14044,LRR,3,0.00300002098083
10524,11024,RRR-R,5,0.0499999523163
10525,10525,L,1,0.00100016593933
10530,14044,UD-LR,5,0.0369999408722
10531,10525,UDRDL,5,0.0350000858307
10532,14301,D-L-D,5,0.0799999237061
10533,14044,URLRR,5,0.0279998779297
10534,14044,DU-LR,5,0.0659999847412
10535,24024,LUR,3,0.00300002098083
10540,11024,R-R,3,0.00200009346008
10541,21024,R-R,3,0.00200009346008
10542,14044,U-LR,4,0.00699996948242
10543,24044,U-LR,4,0.00699996948242
10544,14024,UUU-R,5,0.0220000743866
10545,24024,ULLR,4,0.00600004196167
10550,10125,DD-L,4,0.0139999389648
10551,21024,URR-R,5,0.0279998779297
10552,14024,UL-LR,5,0.0390000343323
10553,24024,UL-LR,5,0.0370001792908
10554,14044,U-RDRR,6,0.229999780655
10555,24044,LUR,3,0.00399994850159
11000,14301,URRD,4,0.00399994850159
11001,11044,U--DR,5,0.0330002307892
11002,24044,DRUR,4,0.010999917984
11003,14024,RDU-LR,6,0.230000019073
11004,14024,URLR,4,0.00699996948242
11005,11024,U---DR,6,0.200000047684
11010,10325,RURDL,5,0.0380001068115
11011,14024,RU-LR,5,0.0409998893738
11012,24044,DRUR,4,0.0120000839233
11013,24024,L-RLR,5,0.077999830246
11014,24044,RUR,3,0.00300002098083
11015,14044,R-LRR,5,0.0610001087189
11020,10325,RDL,3,0.00300002098083
11021,14024,RU-LR,5,0.0429999828339
11022,14044,RRR,3,0.0019998550415
11023,11044,U-UL-DR,7,0.81600022316
11024,11024,R,1,0.00299978256226
11025,14301,RDU-UD,6,0.248000144958
11030,14301,URRD,4,0.00699996948242
11031,14024,-RLR,4,0.0179998874664
11032,24044,DRUR,4,0.0120000839233
11033,24024,-RLR,4,0.0160000324249
11034,14024,URLR,4,0.00600004196167
11035,24044,R-LRR,5,0.055999994278
11040,10325,RDL,3,0.00200009346008
11041,14024,RU-LR,5,0.0379998683929
11042,14044,RRR,3,0.00300002098083
11043,10525,-R-DUL,6,0.465000152588
11044,11044,R,1,0.0019998550415
11045,14044,-RD-R,5,0.0899999141693
11050,10325,RURDL,5,0.0390000343323
11051,14024,RU-LR,5,0.0420000553131
11052,14024,ULRDR,5,0.0320000648499
11053,24024,D-RLR,5,0.066999912262
11054,24044,RUR,3,0.00200009346008
11055,14044,R-LRR,5,0.0729999542236
11100,10525,R-RDL,5,0.0859999656677
11101,14024,LRDR,4,0.0320000648499
11102,11044,U-DR-R,6,0.253999948502
11103,14024,RLR,3,0.00400018692017
11104,11044,RD-R,4,0.00999999046326
11105,21044,LLUR,4,0.0169999599457
11110,14024,RU--R,5,0.050999879837
11111,10125,URDL,4,0.00600004196167
11112,10125,--URDL,6,0.831000089645
11113,21044,UDLR,4,0.00899982452393
11114,21044,RR-R-R,6,0.323000192642
11115,21024,LLUR,4,0.0189998149872
11120,14024,RU--R,5,0.055999994278
11121,10125,URDL,4,0.007000207901
11122,14044,RD-RRR,6,0.309000015259
11123,21024,UDLR,4,0.00999999046326
11124,11044,RDUR-R,6,0.37299990654
11125,10325,URLLL,5,0.039999961853
11130,11044,URDR-R,6,0.210999965668
11131,21044,DD-UR,5,0.107000112534
11132,11044,U-DR-R,6,0.31200003624
11133,14024,RURLR,5,0.0590000152588
11134,10325,U--UUL,6,0.294999837875
11135,21044,LLUR,4,0.0199999809265
11140,14024,RU--R,5,0.0520000457764
11141,10125,URDL,4,0.00800013542175
11142,14044,RD-RRR,6,0.338999986649
11143,21044,UDLR,4,0.00799989700317
11144,11044,RDUR-R,6,0.456000089645
11145,21024,LLUR,4,0.0299999713898
11150,14024,RU--R,5,0.0599999427795
11151,10125,URDL,4,0.0280001163483
11152,10125,--URDL,6,0.974999904633
11153,21024,UDLR,4,0.010999917984
11154,21044,RR-R-R,6,0.397000074387
11155,10325,URLLL,5,0.0360000133514
11200,14024,LRRDR,5,0.0910000801086
11201,14044,UU-R-R,6,0.163999795914
11202,14024,ULRDR,5,0.0390000343323
11203,11044,UU-R-R,6,0.172999858856
11204,14024,URLR,4,0.00699996948242
11205,11024,URD-R,5,0.0350000858307
11210,10525,RURDL,5,0.0810000896454
11211,14044,RU-LR,5,0.0639998912811
11212,14044,ULRDR,5,0.0439999103546
11213,10125,RRR-L,5,0.0540001392365
11214,14044,ULLRR,5,0.039999961853
11215,10125,R-L,3,0.0019998550415
11220,10525,RDL,3,0.0019998550415
11221,14044,RU-LR,5,0.0490000247955
11222,11024,DLR,3,0.00399994850159
11223,11024,DRRD-R,6,0.467000007629
11224,10325,RLLL,4,0.0130000114441
11225,11024,RDR-R,5,0.0570001602173
11230,14044,-U-R,4,0.0189998149872
11231,21024,DD-UR,5,0.085000038147
11232,14024,ULRDR,5,0.0369999408722
11233,14301,L-RRD,5,0.115000009537
11234,14024,URLR,4,0.0090000629425
11235,11024,URD-R,5,0.0320000648499
11240,10525,RDL,3,0.00300002098083
11241,14044,RU-LR,5,0.0490000247955
11242,11044,DLR,3,0.00300002098083
11243,14044,URD-RRR,7,0.822000026703
11244,10325,RLLL,4,0.0139999389648
11245,11024,RDR-R,5,0.055999994278
11250,11044,-U-R,4,0.0199999809265
11251,14044,RU-LR,5,0.0529999732971
11252,14024,ULRDR,5,0.0390000343323
11253,10125,RRR-L,5,0.055999994278
11254,14024,ULRLLR,6,0.234000205994
11255,10125,R-L,3,0.00499987602234
11300,14044,U-DR-R,6,0.164999961853
