COMBINATIONS,DRAW DATE
06-41-07-22-39-33,1/3/2009
18-42-39-20-22-29,1/6/2009
31-04-01-24-12-41,1/10/2009
08-38-01-40-34-32,1/13/2009
31-02-06-15-14-04,1/17/2009
02-31-27-10-37-05,1/20/2009
20-21-22-03-15-02,1/24/2009
29-32-41-38-05-08,1/27/2009
30-41-39-17-07-38,1/31/2009
10-11-06-19-21-15,2/3/2009
29-24-16-08-12-14,2/7/2009
28-32-03-14-02-15,2/10/2009
17-07-40-29-18-09,2/14/2009
18-12-14-15-03-16,2/17/2009
42-20-39-23-40-28,2/21/2009
13-35-38-12-17-11,2/24/2009
31-16-32-27-36-42,2/28/2009
32-05-24-16-34-11,3/3/2009
29-39-19-10-36-06,3/7/2009
08-24-38-30-06-25,3/10/2009
14-17-38-13-37-35,3/14/2009
01-22-05-28-32-29,3/17/2009
19-08-10-12-31-38,3/21/2009
41-09-04-01-26-14,3/24/2009
25-30-16-13-06-39,3/28/2009
20-07-12-38-16-14,3/31/2009
07-41-10-28-27-17,4/4/2009
14-07-01-35-05-06,4/7/2009
37-08-01-07-02-23,4/14/2009
17-32-04-41-19-13,4/18/2009
02-39-26-15-38-19,4/21/2009
11-22-06-28-09-35,4/25/2009
29-02-21-25-28-20,4/28/2009
04-06-41-27-12-09,5/2/2009
26-36-07-41-32-05,5/5/2009
17-15-24-31-01-07,5/9/2009
29-11-04-22-39-02,5/12/2009
12-21-03-19-02-26,5/16/2009
23-20-36-26-05-31,5/19/2009
28-19-31-37-21-27,5/23/2009
35-21-24-28-37-23,5/26/2009
38-15-10-02-42-08,5/30/2009
16-07-34-13-20-03,6/2/2009
29-21-27-13-10-31,6/6/2009
31-14-18-12-34-27,6/9/2009
08-34-33-01-36-13,6/13/2009
07-41-02-13-32-31,6/16/2009
34-24-35-22-37-29,6/20/2009
34-24-35-22-37-29,6/20/2009
23-24-05-32-21-41,6/23/2009
40-16-34-07-25-26,6/27/2009
16-11-34-38-25-29,6/30/2009
01-03-20-11-24-34,7/4/2009
40-03-24-06-26-32,7/7/2009
15-27-10-20-16-17,7/11/2009
03-10-42-21-20-40,7/14/2009
33-03-41-39-29-22,7/18/2009
17-28-24-34-01-14,7/21/2009
37-02-33-14-30-25,7/25/2009
18-42-20-14-35-07,7/28/2009
08-13-25-15-05-37,8/1/2009
04-21-16-14-28-25,8/4/2009
39-09-15-28-25-18,8/8/2009
04-37-24-10-31-32,8/11/2009
31-36-05-22-33-16,8/15/2009
28-22-12-18-03-16,8/18/2009
32-41-16-09-01-20,8/22/2009
17-22-40-20-16-39,8/25/2009
20-24-39-42-36-28,8/29/2009
36-04-25-38-07-08,9/1/2009
12-01-26-23-39-27,9/5/2009
10-26-16-07-03-18,9/8/2009
33-36-02-12-08-13,9/12/2009
18-26-22-09-03-29,9/15/2009
05-14-19-39-01-29,9/19/2009
22-01-17-14-15-02,9/22/2009
05-20-19-42-32-40,9/26/2009
03-11-02-24-19-04,9/29/2009
11-18-16-03-25-09,10/3/2009
17-35-27-20-32-03,10/6/2009
18-04-11-30-09-22,10/10/2009
14-39-13-25-38-37,10/13/2009
37-04-08-31-03-21,10/17/2009
19-15-21-38-02-24,10/20/2009
11-07-36-03-05-15,10/24/2009
39-15-30-13-18-05,10/27/2009
26-04-11-23-22-30,10/31/2009
19-17-20-41-37-30,11/3/2009
29-06-36-27-21-31,11/7/2009
41-12-01-13-02-08,11/10/2009
39-37-31-40-21-01,11/14/2009
29-13-20-07-19-37,11/17/2009
18-31-24-32-16-14,11/21/2009
36-01-18-11-35-08,11/24/2009
19-05-15-42-27-40,11/28/2009
17-37-11-20-04-40,12/1/2009
04-40-28-42-15-36,12/5/2009
33-16-32-19-03-40,12/8/2009
36-30-01-08-12-41,12/12/2009
23-02-40-03-07-01,12/15/2009
16-38-39-15-02-26,12/17/2009
21-03-14-22-27-16,12/19/2009
16-18-09-26-34-23,12/22/2009
22-32-31-26-39-37,12/24/2009
37-34-28-15-04-39,12/26/2009
35-06-21-12-41-01,11/26/2009
26-10-25-02-18-34,12/3/2009
12-22-37-04-34-02,12/10/2009
39-13-14-31-24-18,12/29/2009
19-37-07-11-05-34,12/31/2009
33-13-24-22-10-29,1/2/2010
42-32-31-28-01-02,1/5/2010
16-40-36-27-34-18,1/7/2010
38-27-35-04-01-14,1/9/2010
31-07-10-08-33-42,1/12/2010
33-23-27-15-37-30,1/14/2010
04-34-08-03-24-20,1/16/2010
40-33-12-14-08-26,1/19/2010
20-42-33-36-23-21,1/21/2010
32-23-01-11-22-12,1/23/2010
35-28-34-18-41-04,1/26/2010
05-03-41-24-20-30,1/28/2010
14-34-33-10-24-07,1/30/2010
09-05-42-34-02-32,2/2/2010
02-20-24-09-12-18,2/4/2010
07-29-27-41-24-03,2/6/2010
07-25-33-27-38-16,2/9/2010
03-27-08-17-20-39,2/11/2010
08-21-38-06-19-28,2/13/2010
35-29-22-12-19-02,2/16/2010
19-14-06-27-07-10,2/18/2010
09-03-10-35-37-19,2/20/2010
18-09-01-10-40-15,2/23/2010
02-22-19-04-30-31,2/25/2010
20-08-31-04-21-28,2/27/2010
41-40-06-11-01-20,3/2/2010
41-21-37-34-14-30,3/4/2010
17-35-12-05-33-10,3/6/2010
22-05-17-21-14-41,3/9/2010
38-14-20-24-35-31,3/11/2010
25-10-06-09-18-21,3/13/2010
01-04-06-02-36-37,3/16/2010
38-19-16-37-09-03,3/18/2010
10-23-34-38-40-07,3/20/2010
24-41-03-07-26-06,3/23/2010
39-11-25-17-38-03,3/25/2010
01-08-34-28-14-24,3/27/2010
03-16-06-42-13-05,3/30/2010
33-24-14-02-07-32,4/6/2010
32-02-11-14-42-34,4/8/2010
36-13-25-20-19-37,4/10/2010
37-35-40-36-02-09,4/13/2010
23-27-05-15-33-29,4/15/2010
22-08-04-34-25-41,4/17/2010
27-28-14-20-35-32,4/20/2010
15-04-34-13-42-20,4/22/2010
