COMBINATIONS,DRAW DATE
18-49-28-47-46-20,1/4/2009
39-14-08-36-07-10,1/8/2009
40-09-30-17-12-36,1/11/2009
46-35-34-19-06-12,1/15/2009
28-36-32-38-46-47,1/18/2009
27-05-32-04-08-41,1/20/2009
05-08-06-14-46-23,1/22/2009
28-23-14-35-13-42,1/25/2009
21-40-36-46-15-14,1/27/2009
21-12-39-40-37-07,1/29/2009
29-46-40-06-07-15,2/1/2009
33-49-10-43-30-02,2/3/2009
38-13-34-07-36-22,2/5/2009
07-06-10-04-42-13,2/8/2009
32-23-25-29-28-02,2/10/2009
01-24-16-11-14-42,2/12/2009
30-43-38-42-46-49,2/15/2009
16-10-12-39-47-07,2/17/2009
35-01-42-36-41-22,2/19/2009
06-34-20-26-12-33,2/22/2009
02-13-04-22-12-36,2/24/2009
18-27-01-11-16-03,2/26/2009
23-04-21-22-03-07,3/1/2009
41-09-43-49-03-35,3/3/2009
10-44-19-17-42-11,3/5/2009
42-41-10-25-34-22,3/8/2009
42-24-28-25-33-10,3/10/2009
26-13-11-38-27-06,3/12/2009
16-15-37-19-02-24,3/15/2009
25-03-20-22-23-38,3/17/2009
32-18-15-28-02-03,3/19/2009
46-41-24-04-08-21,3/22/2009
29-41-04-36-28-19,3/24/2009
35-17-48-02-43-05,3/26/2009
24-19-47-15-03-40,3/29/2009
27-45-08-06-11-21,3/31/2009
35-14-45-28-47-20,4/2/2009
19-30-17-18-04-31,4/5/2009
42-12-34-09-28-06,4/7/2009
28-08-07-15-24-19,4/14/2009
23-19-38-25-15-32,4/16/2009
49-17-07-33-32-41,4/19/2009
41-23-43-11-15-38,4/21/2009
39-08-05-44-10-27,4/23/2009
34-10-31-19-25-48,4/26/2009
14-16-09-26-30-37,4/28/2009
01-44-28-12-18-43,4/30/2009
06-11-48-39-25-04,5/3/2009
03-41-20-44-11-06,5/5/2009
45-15-07-20-43-42,5/7/2009
43-45-16-18-05-08,5/10/2009
42-38-49-37-05-28,5/12/2009
39-26-36-43-48-46,5/14/2009
18-04-43-48-07-15,5/17/2009
30-24-47-34-20-45,5/19/2009
17-34-09-20-49-02,5/21/2009
41-13-40-48-12-25,5/24/2009
42-07-21-30-28-35,5/26/2009
28-03-47-49-05-19,5/28/2009
16-27-48-49-30-31,5/31/2009
45-09-22-11-38-28,6/2/2009
45-03-49-31-32-22,6/4/2009
11-28-02-04-06-36,6/7/2009
14-12-37-30-13-21,6/9/2009
02-12-39-11-21-31,6/11/2009
45-34-12-25-23-44,6/14/2009
40-47-10-34-28-06,6/16/2009
40-07-21-30-39-11,6/18/2009
30-24-04-31-06-20,6/21/2009
38-29-46-08-44-27,6/23/2009
23-33-11-29-27-35,6/25/2009
37-01-44-14-18-33,6/28/2009
05-03-22-30-33-32,6/30/2009
07-44-40-28-19-02,7/2/2009
06-47-37-41-43-22,7/5/2009
43-07-49-22-16-44,7/7/2009
15-29-22-47-39-46,7/9/2009
14-34-19-20-47-27,7/12/2009
29-25-20-22-24-42,7/14/2009
30-12-01-27-47-49,7/16/2009
36-22-46-38-09-13,7/19/2009
22-10-26-29-18-24,7/21/2009
17-49-46-04-25-47,7/23/2009
14-34-05-44-26-40,7/26/2009
24-05-20-42-38-44,7/28/2009
25-49-15-42-38-40,7/30/2009
26-43-27-21-01-19,8/2/2009
25-13-47-16-01-34,8/4/2009
37-38-06-44-43-16,8/6/2009
40-11-12-02-04-21,8/9/2009
38-47-48-35-09-39,8/11/2009
38-40-30-14-08-32,8/13/2009
27-30-24-23-39-26,8/16/2009
02-16-35-27-47-17,8/18/2009
03-46-24-15-26-16,8/20/2009
20-36-19-01-33-08,8/23/2009
30-07-26-17-25-40,8/25/2009
11-40-49-13-47-15,8/27/2009
19-45-43-10-44-09,8/30/2009
48-16-31-26-29-03,9/1/2009
03-47-24-45-01-13,9/3/2009
33-34-21-35-45-44,9/6/2009
25-44-23-32-45-31,9/8/2009
36-47-44-28-35-43,9/10/2009
20-48-01-33-02-21,9/13/2009
08-29-17-22-16-27,9/15/2009
13-12-21-19-36-14,9/17/2009
37-14-24-43-10-46,9/20/2009
11-45-06-35-32-47,9/22/2009
03-27-28-08-05-01,9/24/2009
42-40-04-30-46-35,9/27/2009
26-25-09-36-10-23,9/29/2009
07-41-36-19-29-11,10/1/2009
08-14-03-12-48-13,10/4/2009
37-03-05-31-23-35,10/6/2009
12-18-39-38-40-16,10/8/2009
26-17-38-09-02-04,10/11/2009
25-46-38-22-20-18,10/13/2009
08-36-11-42-31-27,10/15/2009
27-23-06-45-15-39,10/18/2009
17-25-45-03-02-32,10/20/2009
14-23-18-32-34-43,10/22/2009
33-31-26-18-34-38,10/25/2009
22-20-17-38-05-10,10/27/2009
17-36-34-30-14-39,10/29/2009
25-09-15-04-20-37,11/1/2009
40-33-02-48-13-31,11/3/2009
03-16-05-36-46-30,11/5/2009
49-08-13-03-43-27,11/8/2009
31-26-10-20-41-09,11/10/2009
27-49-40-14-11-41,11/12/2009
43-42-13-23-10-14,11/15/2009
16-39-04-03-28-26,11/17/2009
31-12-08-07-17-48,11/19/2009
43-23-42-17-45-10,11/22/2009
04-41-29-35-30-38,11/24/2009
47-46-33-24-07-27,11/26/2009
21-04-32-09-02-48,11/29/2009
43-29-20-01-13-24,12/1/2009
36-48-25-13-39-07,12/3/2009
07-08-25-31-22-47,12/6/2009
40-31-08-27-21-45,12/8/2009
34-30-27-18-44-11,12/10/2009
44-09-17-15-04-31,12/13/2009
16-05-34-17-28-11,12/15/2009
02-24-48-13-10-25,12/17/2009
47-29-06-15-28-10,12/20/2009
15-21-37-47-16-22,12/22/2009
