COMBINATIONS,DRAW DATE
25-05-38-26-53-04,4/19/2010
07-45-50-33-19-34,4/21/2010
55-25-21-30-09-39,4/24/2010
26-11-30-12-13-41,4/26/2010
32-23-44-11-50-39,4/28/2010
45-30-07-44-55-54,5/1/2010
21-10-35-46-48-27,5/3/2010
52-41-05-53-11-50,5/5/2010
40-38-17-43-10-54,5/8/2010
45-27-29-12-39-31,5/12/2010
24-42-38-02-18-09,5/15/2010
13-43-28-06-53-30,5/17/2010
45-47-29-30-53-13,5/19/2010
38-45-28-48-47-36,5/22/2010
25-34-18-06-07-55,5/24/2010
47-19-31-41-08-05,5/26/2010
43-31-39-17-07-27,5/31/2010
03-31-07-23-36-38,6/2/2010
09-35-53-34-15-11,5/29/2010
42-16-09-54-29-22,6/5/2010
26-07-04-24-08-53,6/7/2010
28-39-52-24-50-23,6/9/2010
46-06-12-55-44-32,6/12/2010
46-32-18-20-48-16,6/14/2010
15-30-31-12-38-34,6/16/2010
48-01-02-19-27-38,6/19/2010
24-13-07-48-41-51,6/21/2010
28-51-02-40-26-13,6/23/2010
43-48-37-07-39-23,6/26/2010
24-34-17-05-30-39,6/28/2010
40-11-08-35-19-04,6/30/2010
43-21-12-24-40-07,7/3/2010
18-06-54-40-05-42,7/5/2010
09-01-54-36-30-08,7/7/2010
27-07-40-34-20-14,7/10/2010
50-21-35-03-39-05,7/12/2010
26-19-02-13-42-39,7/17/2010
41-37-48-06-50-42,7/19/2010
35-26-45-39-31-41,7/21/2010
07-16-22-21-06-54,7/14/2010
19-10-44-45-22-39,7/24/2010
42-28-08-48-04-46,7/26/2010
25-14-10-52-13-20,7/28/2010
24-44-52-09-28-42,7/31/2010
44-53-42-45-11-35,8/2/2010
42-12-43-49-23-36,8/4/2010
40-52-05-06-36-03,8/7/2010
45-42-23-33-48-02,8/9/2010
05-45-43-49-03-08,8/11/2010
54-37-29-18-53-13,8/14/2010
40-25-54-37-44-05,8/16/2010
15-17-54-10-26-39,8/18/2010
35-16-33-51-20-50,8/21/2010
03-38-04-28-07-15,8/23/2010
55-36-52-45-24-12,8/25/2010
01-18-37-47-43-50,8/28/2010
49-11-26-27-09-12,8/30/2010
15-26-25-17-54-53,9/1/2010
19-26-10-24-51-46,9/4/2010
04-23-32-55-51-53,9/6/2010
39-43-21-35-06-49,9/8/2010
26-40-49-10-02-09,9/11/2010
08-13-29-09-07-12,9/13/2010
42-55-49-52-21-05,9/15/2010
08-34-13-16-54-12,9/18/2010
39-48-41-07-33-26,9/20/2010
49-36-46-05-50-18,9/22/2010
49-18-46-38-10-50,9/25/2010
04-51-42-31-02-24,9/27/2010
26-34-38-40-52-42,9/29/2010
18-20-34-01-48-10,10/2/2010
27-18-35-14-32-19,10/4/2010
42-30-25-05-52-18,10/6/2010
52-42-39-14-36-33,10/9/2010
15-12-03-33-08-09,10/11/2010
13-19-26-54-44-22,10/13/2010
02-51-21-40-28-36,10/16/2010
14-32-30-47-18-23,10/18/2010
38-25-16-48-26-42,10/20/2010
48-43-40-33-47-24,10/23/2010
43-38-26-02-12-48,10/25/2010
35-16-47-38-09-15,10/27/2010
54-02-34-31-42-08,10/30/2010
08-49-29-35-28-45,11/1/2010
43-20-05-37-13-06,11/3/2010
15-38-17-39-11-03,11/6/2010
43-12-14-30-51-46,11/8/2010
04-34-29-35-30-10,11/10/2010
03-31-34-13-48-11,11/13/2010
43-13-29-44-04-20,11/15/2010
53-09-45-24-50-29,11/17/2010
18-17-36-04-40-13,11/20/2010
04-41-40-55-42-45,11/24/2010
22-25-17-50-19-37,11/22/2010
22-55-51-14-54-45,11/27/2010
11-16-42-47-31-37,11/29/2010
33-05-03-40-21-55,12/1/2010
38-45-36-13-24-28,12/4/2010
30-28-40-49-07-01,12/6/2010
07-10-26-43-04-31,12/8/2010
50-38-17-11-03-04,12/11/2010
30-37-28-24-23-19,12/13/2010
28-20-18-17-31-16,12/15/2010
45-13-44-25-41-42,12/18/2010
46-02-03-21-50-51,12/20/2010
11-19-40-34-26-18,12/22/2010
52-09-20-01-14-28,12/27/2010
42-24-55-38-47-13,12/29/2010
03-18-41-33-09-47,1/3/2011
48-15-07-46-18-05,1/5/2011
34-04-48-01-16-52,1/8/2011
48-06-46-51-20-08,1/10/2011
14-29-02-49-47-23,1/12/2011
05-51-12-25-54-33,1/15/2011
22-31-10-49-07-39,1/17/2011
06-54-26-04-43-38,1/19/2011
51-38-22-26-07-52,1/22/2011
06-17-41-31-47-29,1/24/2011
21-09-55-12-28-36,1/26/2011
53-24-01-51-44-10,1/29/2011
33-20-30-39-17-50,1/31/2011
18-05-55-38-19-07,2/2/2011
28-53-30-41-09-39,2/5/2011
42-11-47-03-45-22,2/7/2011
24-30-54-16-22-40,2/9/2011
32-26-34-35-43-49,2/12/2011
32-14-44-37-55-46,2/14/2011
18-20-07-05-10-12,2/16/2011
04-41-49-29-18-33,2/19/2011
13-30-41-33-10-25,2/21/2011
12-50-35-05-24-01,2/23/2011
52-44-08-22-51-47,2/26/2011
41-14-51-29-54-32,2/28/2011
26-48-39-50-29-47,3/2/2011
19-53-42-54-31-05,3/5/2011
31-26-51-02-35-55,3/7/2011
01-22-26-32-43-31,3/9/2011
25-12-17-16-54-19,3/12/2011
37-29-26-12-06-35,3/14/2011
28-18-27-09-50-46,3/16/2011
17-55-09-39-07-34,3/19/2011
53-15-12-07-08-32,3/21/2011
53-52-36-48-45-29,3/23/2011
02-34-44-01-09-13,3/26/2011
55-46-16-43-45-01,3/28/2011
50-18-35-02-14-45,3/30/2011
44-07-41-42-37-04,4/2/2011
33-06-25-55-05-48,4/4/2011
04-20-41-18-07-27,4/6/2011
36-24-05-21-47-04,4/9/2011
06-15-08-39-37-24,4/11/2011
03-29-23-22-35-54,4/13/2011
09-20-18-48-51-36,4/16/2011
25-15-18-34-39-29,4/18/2011
45-35-20-05-16-26,4/20/2011
38-10-49-40-09-26,4/25/2011
43-49-53-44-37-23,4/27/2011
24-25-48-34-03-23,4/30/2011
02-01-15-24-36-08,5/2/2011
06-24-53-36-11-27,5/4/2011
06-51-55-50-39-41,5/7/2011
41-51-55-49-39-52,5/9/2011
16-18-07-06-35-24,5/11/2011
35-19-51-12-25-09,5/14/2011
31-16-54-42-40-08,5/16/2011
21-34-54-43-28-19,5/18/2011
10-21-51-37-25-09,5/21/2011
25-37-40-26-07-28,5/23/2011
42-19-30-41-12-52,5/25/2011
01-22-27-49-41-43,5/28/2011
32-44-23-13-49-06,5/30/2011
09-05-26-30-19-45,6/1/2011
22-46-26-35-19-55,6/4/2011
29-01-47-39-31-20,6/6/2011
28-19-40-55-21-46,6/8/2011
02-19-25-29-18-12,6/11/2011
54-30-20-37-53-40,6/13/2011
43-50-12-07-10-40,6/15/2011
02-26-54-06-40-30,6/18/2011
17-05-27-39-36-35,6/20/2011
36-26-29-12-25-52,6/22/2011
13-45-38-43-21-53,6/25/2011
18-22-44-53-29-13,6/27/2011
03-18-30-40-06-29,6/29/2011
02-33-55-17-03-43,7/2/2011
55-18-14-37-35-36,7/4/2011
10-45-41-02-06-55,7/6/2011
51-28-03-38-16-42,7/9/2011
01-53-14-51-25-26,7/11/2011
02-25-45-28-24-21,7/13/2011
05-18-10-36-22-04,7/16/2011
46-34-02-55-48-14,7/18/2011
12-33-26-49-45-27,7/20/2011
24-42-29-20-33-49,7/23/2011
42-09-52-51-44-17,7/25/2011
12-25-07-23-45-39,7/27/2011
29-05-34-03-25-12,7/30/2011
31-24-44-07-11-52,8/1/2011
32-38-11-25-12-40,8/3/2011
10-25-04-40-34-44,8/6/2011
02-34-04-39-10-21,8/8/2011
16-52-22-26-18-29,8/10/2011
31-09-29-30-37-17,8/13/2011
39-17-07-06-31-26,8/15/2011
55-47-24-20-39-37,8/17/2011
12-29-19-55-30-26,8/20/2011
31-17-11-18-22-44,8/22/2011
09-01-06-40-16-35,8/24/2011
35-24-17-13-26-32,8/27/2011
32-04-46-28-20-12,8/29/2011
40-07-16-17-30-31,8/31/2011
18-40-06-54-08-22,9/3/2011
46-15-08-07-39-54,9/5/2011
54-52-46-25-49-23,9/7/2011
17-30-22-37-14-47,9/10/2011
08-50-36-28-15-10,9/12/2011
29-01-35-52-11-31,9/14/2011
35-51-54-39-50-12,9/17/2011
32-01-09-50-23-31,9/19/2011
14-54-28-32-02-39,9/21/2011
43-36-18-25-21-33,9/24/2011
46-39-02-47-48-34,9/26/2011
27-12-07-28-08-21,9/28/2011
55-27-21-17-51-13,10/1/2011
29-18-19-06-39-52,10/3/2011
26-28-29-36-11-47,10/5/2011
54-53-52-17-43-46,10/8/2011
50-55-43-45-34-40,10/10/2011
51-45-52-23-30-54,10/12/2011
47-19-41-16-29-30,10/15/2011
47-34-19-29-28-04,10/17/2011
43-28-49-20-01-03,10/19/2011
12-32-19-21-11-24,10/22/2011
52-44-49-35-34-26,10/24/2011
23-47-02-26-05-30,10/26/2011
10-18-46-02-15-22,10/29/2011
55-34-45-22-31-33,10/31/2011
01-22-55-25-23-15,11/2/2011
41-40-35-14-03-34,11/5/2011
53-05-34-51-23-07,11/7/2011
46-12-36-08-30-55,11/9/2011
22-06-24-46-20-05,11/12/2011
22-23-12-28-40-31,11/14/2011
49-15-34-55-47-26,11/16/2011
05-53-17-54-15-02,11/19/2011
08-28-20-19-48-33,11/21/2011
49-37-30-54-48-13,11/23/2011
09-55-02-28-17-13,11/26/2011
01-55-11-03-27-49,11/28/2011
54-34-21-39-51-55,11/30/2011
03-29-47-24-52-31,12/3/2011
48-55-17-04-02-27,12/5/2011
39-06-18-12-14-03,12/7/2011
17-53-42-48-40-55,12/10/2011
48-27-38-10-24-01,12/12/2011
10-11-40-18-55-06,12/14/2011
47-09-08-17-15-26,12/17/2011
55-30-03-06-01-04,12/19/2011
31-36-50-05-51-49,12/21/2011
07-30-51-45-38-55,12/24/2011
27-26-03-22-20-44,12/26/2011
24-01-31-04-29-18,12/28/2011
22-50-26-41-51-07,12/31/2011
44-14-51-52-39-08,1/2/2012
04-52-11-20-46-01,1/4/2012
53-30-15-51-01-33,1/7/2012
46-11-28-43-26-47,1/9/2012
48-54-55-34-06-14,1/11/2012
20-32-18-42-27-47,1/14/2012
45-52-51-46-53-33,1/16/2012
18-37-54-03-24-53,1/18/2012
13-25-52-37-41-51,1/21/2012
15-52-33-31-40-06,1/23/2012
50-29-26-40-32-18,1/25/2012
19-07-09-36-20-29,1/28/2012
12-29-22-39-23-34,1/30/2012
12-15-10-46-01-18,2/1/2012
48-04-07-16-09-01,2/4/2012
20-37-35-27-50-42,2/6/2012
26-48-21-40-09-13,2/8/2012
46-02-33-17-19-09,2/11/2012
11-31-53-14-45-06,2/13/2012
10-20-11-16-28-14,2/15/2012
47-40-55-16-52-49,2/18/2012
29-02-01-33-03-28,2/20/2012
05-42-13-45-31-19,2/22/2012
15-38-06-25-20-24,2/25/2012
38-40-37-47-31-20,2/27/2012
36-15-12-19-17-45,2/29/2012
21-44-20-39-33-23,3/3/2012
42-45-33-41-16-21,3/5/2012
53-22-36-39-31-52,3/7/2012
45-32-09-37-05-19,3/10/2012
17-41-37-46-34-48,3/12/2012
52-43-50-54-23-09,3/14/2012
38-07-50-34-48-03,3/17/2012
21-32-41-10-13-05,3/19/2012
07-10-13-35-40-46,3/21/2012
27-55-13-21-43-28,3/24/2012
09-30-36-34-42-02,3/26/2012
28-51-24-31-22-04,3/28/2012
26-15-36-45-33-10,3/31/2012
15-53-27-42-40-14,4/2/2012
34-29-46-31-06-41,4/4/2012
32-19-41-26-40-08,4/9/2012
45-04-17-39-06-29,4/11/2012
34-17-30-29-28-06,4/14/2012
25-28-37-02-06-22,4/16/2012
51-23-04-12-24-08,4/18/2012
41-50-38-05-26-51,4/21/2012
13-08-49-44-20-22,4/23/2012
07-23-15-05-02-50,4/25/2012
25-55-10-22-37-29,4/28/2012
22-34-36-09-17-31,4/30/2012
20-35-45-47-30-06,5/2/2012
25-50-43-08-54-15,5/5/2012
20-47-04-02-09-40,5/7/2012
12-08-46-53-41-55,5/9/2012
16-35-08-29-17-52,5/12/2012
35-27-23-06-45-09,5/14/2012
16-25-10-07-03-48,5/16/2012
07-21-40-48-04-35,5/19/2012
27-01-38-49-05-02,5/21/2012
08-54-39-19-29-55,5/23/2012
23-04-44-41-03-10,5/26/2012
23-22-50-32-13-29,5/28/2012
05-42-36-08-16-38,5/30/2012
54-45-17-32-48-01,6/2/2012
34-14-11-30-26-10,6/4/2012
53-15-09-52-17-21,6/6/2012
24-28-52-27-40-20,6/9/2012
20-55-33-22-12-31,6/11/2012
19-26-53-50-34-22,6/13/2012
06-10-30-44-51-28,6/16/2012
01-48-04-06-47-46,6/18/2012
43-36-33-15-12-09,6/20/2012
26-13-18-15-02-17,6/23/2012
12-05-34-06-26-35,6/25/2012
22-17-20-37-33-10,6/27/2012
26-24-52-16-11-25,6/30/2012
09-35-25-16-53-04,7/2/2012
36-26-10-49-32-37,7/4/2012
18-26-21-10-25-54,7/7/2012
03-36-39-29-35-26,7/9/2012
14-45-30-04-13-31,7/11/2012
13-39-34-42-32-55,7/14/2012
48-19-46-27-20-40,7/16/2012
51-34-48-40-05-50,7/18/2012
21-15-40-38-48-07,7/21/2012
34-12-54-52-35-20,7/23/2012
27-14-32-03-25-04,7/25/2012
28-20-33-55-36-26,7/28/2012
04-31-33-42-43-46,7/30/2012
54-04-27-26-33-36,8/1/2012
11-08-33-47-27-01,8/4/2012
07-19-16-10-22-33,8/6/2012
40-20-23-13-16-47,8/8/2012
08-13-38-28-29-02,8/11/2012
43-18-20-24-44-34,8/13/2012
50-17-41-27-13-31,8/15/2012
25-15-29-35-31-48,8/18/2012
37-05-36-22-52-03,8/20/2012
24-03-42-36-35-06,8/22/2012
39-31-46-53-37-27,8/25/2012
22-52-39-30-36-41,8/27/2012
49-08-01-02-28-35,8/29/2012
22-03-36-17-15-45,9/1/2012
