COMBINATIONS,DRAW DATE
10-12-07-45-36-40,1/2/2009
39-22-40-20-26-35,1/5/2009
17-14-18-35-03-08,1/7/2009
34-30-35-39-05-42,1/9/2009
12-02-43-38-05-24,1/12/2009
25-01-12-42-45-16,1/14/2009
25-06-02-26-32-15,1/16/2009
09-29-02-27-28-15,1/19/2009
39-06-11-29-44-01,1/21/2009
06-26-04-36-03-41,1/23/2009
37-40-20-30-28-42,1/26/2009
02-16-44-06-36-14,1/28/2009
37-05-45-15-41-28,1/30/2009
20-28-37-13-31-32,2/2/2009
29-18-37-32-15-17,2/4/2009
22-01-05-36-23-40,2/6/2009
36-35-25-17-23-15,2/9/2009
30-06-09-05-16-17,2/11/2009
37-01-10-41-02-12,2/13/2009
37-31-25-03-18-32,2/16/2009
29-10-26-15-09-19,2/18/2009
14-01-04-33-16-26,2/20/2009
14-40-26-11-17-15,2/23/2009
17-03-06-27-28-02,2/25/2009
01-14-24-19-22-11,2/27/2009
28-32-07-06-19-13,3/2/2009
16-12-21-31-18-24,3/4/2009
06-43-35-31-13-21,3/6/2009
41-45-33-28-31-10,3/9/2009
10-11-35-21-23-44,3/11/2009
27-21-16-18-37-11,3/13/2009
17-20-24-44-07-18,3/16/2009
16-38-02-43-27-12,3/18/2009
15-17-08-25-34-29,3/20/2009
22-21-03-10-35-06,3/23/2009
30-20-14-29-18-02,3/25/2009
04-17-10-29-02-26,3/27/2009
15-34-35-14-29-32,3/30/2009
32-24-20-27-43-28,4/1/2009
25-29-34-12-18-16,4/3/2009
37-03-33-21-30-11,4/6/2009
33-24-08-40-36-17,4/8/2009
03-33-09-34-15-17,4/13/2009
29-39-23-01-16-42,4/15/2009
41-26-35-05-11-10,4/17/2009
10-02-35-05-24-39,4/20/2009
41-42-09-35-44-10,4/22/2009
28-03-10-35-04-25,4/24/2009
42-05-03-13-21-01,4/27/2009
06-34-33-17-26-41,4/29/2009
01-05-42-34-29-38,5/1/2009
26-44-16-05-13-15,5/4/2009
09-41-29-44-30-45,5/6/2009
43-22-17-08-10-37,5/8/2009
21-08-42-24-16-38,5/11/2009
28-32-11-15-34-07,5/13/2009
21-28-36-22-41-32,5/15/2009
17-35-09-11-26-29,5/18/2009
25-38-10-15-21-39,5/20/2009
06-15-31-22-32-05,5/22/2009
37-24-19-39-11-08,5/25/2009
33-40-44-02-21-18,5/27/2009
13-03-32-41-10-14,5/29/2009
37-01-39-19-33-38,6/1/2009
26-11-42-23-15-30,6/3/2009
25-22-34-42-03-44,6/5/2009
24-31-19-11-23-12,6/8/2009
11-44-08-18-42-35,6/10/2009
17-45-34-21-36-24,6/12/2009
07-41-45-02-20-27,6/15/2009
17-29-39-26-28-22,6/17/2009
43-19-39-15-11-32,6/19/2009
14-15-34-35-10-31,6/22/2009
26-35-11-38-02-39,6/24/2009
25-31-42-29-23-39,6/26/2009
10-18-08-45-01-04,6/29/2009
31-18-43-24-36-44,7/1/2009
14-01-30-13-15-45,7/3/2009
23-19-45-04-43-13,7/6/2009
01-44-39-19-26-06,7/8/2009
10-04-16-45-03-02,7/10/2009
43-17-10-40-28-01,7/13/2009
11-30-09-42-33-13,7/15/2009
01-35-16-43-03-13,7/17/2009
17-07-03-21-06-26,7/20/2009
21-38-08-32-37-40,7/22/2009
32-19-09-33-39-29,7/24/2009
29-10-22-20-33-45,7/27/2009
20-29-35-07-32-13,7/29/2009
17-37-40-34-16-30,7/31/2009
45-32-44-16-19-15,8/3/2009
11-03-16-44-42-39,8/5/2009
15-14-31-06-07-03,8/7/2009
15-14-31-06-07-03,8/7/2009
44-18-20-23-16-04,8/10/2009
22-28-14-05-39-23,8/12/2009
41-33-23-02-30-18,8/14/2009
19-23-35-29-11-03,8/17/2009
43-31-15-27-35-39,8/19/2009
40-20-06-13-30-19,8/21/2009
04-27-43-08-44-18,8/24/2009
39-22-04-24-45-11,8/26/2009
19-09-21-04-32-29,8/28/2009
45-17-44-37-01-29,8/31/2009
10-15-35-17-45-24,9/2/2009
25-11-05-33-42-29,9/4/2009
38-04-02-25-08-43,9/7/2009
04-14-36-20-43-10,9/9/2009
44-09-37-38-29-02,9/11/2009
41-17-32-37-26-09,9/14/2009
40-22-19-09-45-11,9/16/2009
07-13-40-26-45-43,9/18/2009
41-01-38-03-10-32,9/21/2009
45-43-03-23-38-31,9/23/2009
37-11-03-01-18-14,9/25/2009
14-07-32-13-38-41,9/28/2009
19-04-09-41-01-21,9/30/2009
31-38-19-15-13-36,10/2/2009
28-44-42-39-29-02,10/5/2009
25-35-18-34-42-32,10/7/2009
45-26-25-32-18-09,10/9/2009
38-14-25-10-16-19,10/12/2009
19-01-29-36-27-09,10/14/2009
45-20-17-02-11-38,10/16/2009
08-26-29-38-45-12,10/19/2009
02-11-18-19-31-33,10/21/2009
27-22-13-36-02-01,10/23/2009
22-42-29-02-03-11,10/26/2009
04-36-32-25-41-10,10/28/2009
19-20-12-13-42-14,10/30/2009
22-45-17-21-20-16,11/2/2009
30-22-19-03-29-43,11/4/2009
12-30-37-05-08-28,11/6/2009
12-28-32-30-14-24,11/9/2009
11-45-43-08-38-42,11/11/2009
44-17-23-15-40-36,11/13/2009
10-21-35-24-07-09,11/16/2009
37-42-32-21-09-15,11/18/2009
31-35-17-12-19-25,11/20/2009
43-12-35-11-16-29,11/23/2009
10-27-21-19-01-15,11/25/2009
14-13-33-07-22-28,11/27/2009
24-29-39-30-42-32,11/30/2009
09-06-45-02-20-43,12/2/2009
13-24-11-10-12-29,12/4/2009
23-34-09-32-40-31,12/7/2009
15-02-14-30-32-23,12/9/2009
16-14-04-19-02-17,12/11/2009
05-09-27-21-23-45,12/14/2009
18-24-11-02-26-23,12/16/2009
01-42-04-25-18-08,12/18/2009
16-30-40-25-45-06,12/21/2009
39-02-11-25-29-40,12/23/2009
26-29-31-01-06-17,12/28/2009
33-42-22-04-28-39,12/30/2009
11-04-07-29-03-26,1/4/2010
36-34-29-24-25-07,1/6/2010
28-38-17-35-01-08,1/8/2010
03-38-06-13-20-31,1/11/2010
23-11-12-08-30-21,1/13/2010
21-33-31-32-40-13,1/15/2010
36-31-35-43-44-34,1/18/2010
27-36-24-42-37-44,1/20/2010
38-35-14-20-23-02,1/22/2010
28-11-12-45-20-34,1/25/2010
45-27-14-03-07-08,1/27/2010
42-01-27-33-23-24,1/29/2010
38-29-09-07-41-40,2/1/2010
23-43-32-12-13-35,2/3/2010
15-19-45-23-05-42,2/5/2010
36-27-08-12-34-28,2/8/2010
03-30-12-11-16-17,2/10/2010
24-19-45-09-34-02,2/12/2010
17-32-38-41-24-10,2/15/2010
16-38-44-13-32-40,2/17/2010
42-15-09-19-27-34,2/19/2010
37-43-36-32-42-08,2/22/2010
07-11-31-01-14-20,2/24/2010
20-19-34-29-28-24,2/26/2010
22-40-42-45-24-33,3/1/2010
44-18-37-13-39-11,3/3/2010
34-03-30-01-25-43,3/5/2010
25-21-11-22-18-32,3/8/2010
30-03-13-28-06-41,3/10/2010
07-16-24-27-26-44,3/12/2010
04-18-05-09-33-34,3/15/2010
35-13-25-33-08-34,3/17/2010
13-22-36-01-42-16,3/19/2010
12-38-01-41-35-42,3/22/2010
42-21-01-10-38-30,3/24/2010
37-26-13-16-10-43,3/26/2010
44-19-24-14-07-26,3/29/2010
30-06-36-11-17-03,3/31/2010
36-37-18-12-33-14,4/5/2010
15-01-19-10-44-04,4/7/2010
24-44-26-20-02-08,4/9/2010
26-39-42-13-30-36,4/12/2010
39-44-38-36-19-02,4/14/2010
06-21-07-14-26-39,4/19/2010
31-17-40-23-20-39,4/21/2010
01-31-34-02-37-32,4/23/2010
40-07-31-27-10-32,4/16/2010
28-04-15-39-11-36,4/26/2010
24-19-43-09-13-27,4/28/2010
05-21-15-19-29-24,4/30/2010
20-15-06-37-21-02,5/3/2010
15-29-19-01-36-09,5/5/2010
14-11-24-09-07-41,5/7/2010
22-29-19-35-44-45,5/12/2010
17-06-34-11-25-04,5/14/2010
17-22-13-02-11-38,5/17/2010
03-42-30-37-04-24,5/19/2010
44-14-23-30-42-38,5/21/2010
19-22-28-44-25-04,5/24/2010
41-31-17-01-29-12,5/26/2010
45-19-27-23-22-20,5/28/2010
33-26-17-27-13-43,5/31/2010
29-30-19-41-20-09,6/2/2010
31-07-05-03-30-28,6/4/2010
08-32-34-15-44-43,6/7/2010
35-29-16-30-40-02,6/9/2010
39-30-16-31-06-01,6/11/2010
43-26-01-24-08-19,6/14/2010
12-34-45-08-14-18,6/16/2010
28-30-26-43-09-31,6/18/2010
39-14-20-18-32-35,6/21/2010
19-30-27-07-05-37,6/23/2010
26-30-13-31-09-03,6/25/2010
44-02-08-06-45-33,6/28/2010
23-16-44-04-07-05,6/30/2010
35-41-05-04-36-01,7/2/2010
38-10-34-11-25-29,7/5/2010
31-27-17-25-40-30,7/7/2010
02-11-38-13-09-24,7/9/2010
06-38-11-28-20-33,7/12/2010
27-22-08-40-16-10,7/16/2010
10-36-15-40-12-30,7/19/2010
25-10-35-28-30-03,7/21/2010
42-21-44-35-26-29,7/14/2010
27-29-38-40-43-03,7/23/2010
23-02-25-44-27-15,7/26/2010
02-23-06-31-29-44,7/28/2010
45-14-26-10-34-36,7/30/2010
38-05-44-18-17-06,8/2/2010
28-15-36-27-44-14,8/4/2010
05-08-41-40-36-24,8/6/2010
12-43-13-28-01-37,8/9/2010
23-06-01-36-09-22,8/11/2010
38-01-37-21-24-25,8/13/2010
41-19-03-31-23-04,8/16/2010
15-19-06-16-33-04,8/18/2010
